Wafer_ID,Total_Dies,Passed_Dies,Defect_Category
WF-1126,1000,915,EDGE_SCRATCH
WF-1127,1000,777,RING_DEFECT
WF-1128,1000,774,none
WF-1129,1000,845,EDGE_SCRATCH
WF-1130,1000,874,NONE
WF-1131,1000,759,NONE
WF-1132,1000,937,EDGE_SCRATCH
WF-1133,1000,791,NONE
WF-1134,1000,789,none
WF-1135,1000,974,NONE
WF-1136,1000,826,none
WF-1137,1000,997,RING_DEFECT
WF-1138,1000,854,RING_DEFECT
WF-1139,1000,867,EDGE_SCRATCH
WF-1140,1000,791,EDGE_SCRATCH
WF-1141,1000,796,none
WF-1142,1000,914,none
WF-1143,1000,995,NONE
WF-1144,1000,957,NONE
WF-1145,1000,986,NONE
WF-1146,1000,771,ring_defect
WF-1147,1000,934,NONE
WF-1148,1000,961,none
WF-1149,1000,991,none
WF-1150,1000,856, edge_scratch 
WF-1151,1000,776,EDGE_SCRATCH
WF-1152,1000,790,NONE
WF-1153,1000,829,none
WF-1154,1000,911,RING_DEFECT
WF-1155,1000,909,NONE
WF-1156,1000,967,NONE
WF-1157,1000,838, edge_scratch 
WF-1158,1000,815,RING_DEFECT
WF-1159,1000,761,NONE
WF-1160,1000,917,EDGE_SCRATCH
WF-1161,1000,822,RING_DEFECT
WF-1162,1000,825,NONE
WF-1163,1000,839,ring_defect
WF-1164,1000,950,EDGE_SCRATCH
WF-1165,1000,759,EDGE_SCRATCH
WF-1166,1000,845,EDGE_SCRATCH
WF-1167,1000,998,NONE
WF-1168,1000,975,NONE
WF-1169,1000,925,NONE
WF-1170,1000,769,NONE
WF-1171,1000,788,NONE
WF-1172,1000,809,RING_DEFECT
WF-1173,1000,815,RING_DEFECT
WF-1174,1000,814, edge_scratch 
WF-1175,1000,928,RING_DEFECT
WF-1176,1000,873,EDGE_SCRATCH
WF-1177,1000,913,NONE
WF-1178,1000,901,NONE
WF-1179,1000,995,none
WF-1180,1000,904,EDGE_SCRATCH
WF-1181,1000,879,NONE
WF-1182,1000,908, edge_scratch 
WF-1183,1000,806,NONE
WF-1184,1000,827,EDGE_SCRATCH
WF-1185,1000,943,RING_DEFECT
WF-1186,1000,778,EDGE_SCRATCH
WF-1187,1000,764,ring_defect
WF-1188,1000,761,RING_DEFECT
WF-1189,1000,850,ring_defect
WF-1190,1000,905,ring_defect
WF-1191,1000,833,RING_DEFECT
WF-1192,1000,874, edge_scratch 
WF-1193,1000,852,NONE
WF-1194,1000,773,NONE
WF-1195,1000,898,none
WF-1196,1000,887,NONE
WF-1197,1000,859,NONE
WF-1198,1000,827,ring_defect
WF-1199,1000,850,RING_DEFECT
WF-1200,1000,895,RING_DEFECT
WF-1201,1000,965,NONE
WF-1202,1000,891,NONE
WF-1203,1000,911,NONE
WF-1204,1000,877,NONE
WF-1205,1000,807,NONE
WF-1206,1000,825,NONE
WF-1207,1000,899,ring_defect
WF-1208,1000,997,EDGE_SCRATCH
WF-1209,1000,947,NONE
WF-1210,1000,785,NONE
WF-1211,1000,922,none
WF-1212,1000,913,NONE
WF-1213,1000,771,ring_defect
WF-1214,1000,955,NONE
WF-1215,1000,876,NONE
WF-1216,1000,829,NONE
WF-1217,1000,938,NONE
WF-1218,1000,849, edge_scratch 
WF-1219,1000,933,EDGE_SCRATCH
WF-1220,1000,966, edge_scratch 
WF-1221,1000,845,NONE
WF-1222,1000,910,none
WF-1223,1000,922,none
WF-1224,1000,913,RING_DEFECT
WF-1225,1000,897,NONE
WF-1226,1000,767,NONE
WF-1227,1000,787, edge_scratch 
WF-1228,1000,944, edge_scratch 
WF-1229,1000,900,NONE
WF-1230,1000,973,NONE
WF-1231,1000,858,NONE
WF-1232,1000,872,RING_DEFECT
WF-1233,1000,893,NONE
WF-1234,1000,936,ring_defect
WF-1235,1000,946,none
WF-1236,1000,945,ring_defect
WF-1237,1000,898,RING_DEFECT
WF-1238,1000,853,NONE
WF-1239,1000,992,RING_DEFECT
WF-1240,1000,955,NONE
WF-1241,1000,980,ring_defect
WF-1242,1000,972, edge_scratch 
WF-1243,1000,955,NONE
WF-1244,1000,947, edge_scratch 
WF-1245,1000,889,ring_defect
WF-1246,1000,893,NONE
WF-1247,1000,830,none
WF-1248,1000,986,EDGE_SCRATCH
WF-1249,1000,836,RING_DEFECT
WF-1250,1000,891,NONE
WF-1251,1000,810,NONE
WF-1252,1000,948,NONE
WF-1253,1000,795,none
WF-1254,1000,781,NONE
WF-1255,1000,764,ring_defect
WF-1256,1000,793,NONE
WF-1257,1000,894, edge_scratch 
WF-1258,1000,918,NONE
WF-1259,1000,803,NONE
WF-1260,1000,988,NONE
WF-1261,1000,793,NONE
WF-1262,1000,847, edge_scratch 
WF-1263,1000,754,ring_defect
WF-1264,1000,858, edge_scratch 
WF-1265,1000,776,ring_defect
WF-1266,1000,865,RING_DEFECT
WF-1267,1000,836,none
WF-1268,1000,853,RING_DEFECT
WF-1269,1000,872, edge_scratch 
WF-1270,1000,955,NONE
WF-1271,1000,828,EDGE_SCRATCH
WF-1272,1000,792,NONE
WF-1273,1000,846,none
WF-1274,1000,994,EDGE_SCRATCH
WF-1275,1000,780,NONE
WF-1276,1000,848,NONE
WF-1277,1000,766,ring_defect
WF-1278,1000,969, edge_scratch 
WF-1279,1000,832,NONE
WF-1280,1000,859, edge_scratch 
WF-1281,1000,931,none
WF-1282,1000,939,none
WF-1283,1000,964,ring_defect
WF-1284,1000,781, edge_scratch 
WF-1285,1000,917,NONE
WF-1286,1000,890,RING_DEFECT
WF-1287,1000,961,RING_DEFECT
WF-1288,1000,784,NONE
WF-1289,1000,882,NONE
WF-1290,1000,950,NONE
WF-1291,1000,778, edge_scratch 
WF-1292,1000,819, edge_scratch 
WF-1293,1000,902, edge_scratch 
WF-1294,1000,844,ring_defect
WF-1295,1000,771,EDGE_SCRATCH
WF-1296,1000,943,NONE
WF-1297,1000,922,NONE
WF-1298,1000,818,NONE
WF-1299,1000,968,NONE
WF-1300,1000,838, edge_scratch 
WF-1301,1000,821,RING_DEFECT
WF-1302,1000,996,NONE
WF-1303,1000,878,none
WF-1304,1000,961,EDGE_SCRATCH
WF-1305,1000,921,NONE
WF-1306,1000,836,NONE
WF-1307,1000,845,NONE
WF-1308,1000,824,NONE
WF-1309,1000,916,ring_defect
WF-1310,1000,988,NONE
WF-1311,1000,803,NONE
WF-1312,1000,837,none
WF-1313,1000,952,ring_defect
WF-1314,1000,906,NONE
WF-1315,1000,803,NONE
WF-1316,1000,967,NONE
WF-1317,1000,765,NONE
WF-1318,1000,848,NONE
WF-1319,1000,769, edge_scratch 
WF-1320,1000,795,NONE
WF-1321,1000,944,NONE
WF-1322,1000,942,RING_DEFECT
WF-1323,1000,876,NONE
WF-1324,1000,807,NONE
WF-1325,1000,930,NONE
WF-1326,1000,860,ring_defect
WF-1327,1000,878,NONE
WF-1328,1000,830,RING_DEFECT
WF-1329,1000,943,EDGE_SCRATCH
WF-1330,1000,906,NONE
WF-1331,1000,833,ring_defect
WF-1332,1000,819,NONE
WF-1333,1000,757,NONE
WF-1334,1000,778,RING_DEFECT
WF-1335,1000,861,EDGE_SCRATCH
WF-1336,1000,928, edge_scratch 
WF-1337,1000,910,NONE
WF-1338,1000,880,NONE
WF-1339,1000,937,EDGE_SCRATCH
WF-1340,1000,912,NONE
WF-1341,1000,946,NONE
WF-1342,1000,968,NONE
WF-1343,1000,857,NONE
WF-1344,1000,953,RING_DEFECT
WF-1345,1000,961,NONE
WF-1346,1000,858,ring_defect
WF-1347,1000,769,NONE
WF-1348,1000,822,EDGE_SCRATCH
WF-1349,1000,916,NONE
WF-1350,1000,753,NONE
WF-1351,1000,992,NONE
WF-1352,1000,995,NONE
WF-1353,1000,768,none
WF-1354,1000,851,ring_defect
WF-1355,1000,968, edge_scratch 
WF-1356,1000,922,NONE
WF-1357,1000,920,NONE
WF-1358,1000,890,NONE
WF-1359,1000,890,none
WF-1360,1000,937,EDGE_SCRATCH
WF-1361,1000,934,ring_defect
WF-1362,1000,835,NONE
WF-1363,1000,969,none
WF-1364,1000,801,NONE
WF-1365,1000,860, edge_scratch 
WF-1366,1000,930,none
WF-1367,1000,858, edge_scratch 
WF-1368,1000,835, edge_scratch 
WF-1369,1000,792,NONE
WF-1370,1000,960,EDGE_SCRATCH
WF-1371,1000,949,NONE
WF-1372,1000,993, edge_scratch 
WF-1373,1000,949,NONE
WF-1374,1000,791,none
WF-1375,1000,839,ring_defect
WF-1376,1000,989,RING_DEFECT
WF-1377,1000,864,RING_DEFECT
WF-1378,1000,775,none
WF-1379,1000,900,EDGE_SCRATCH
WF-1380,1000,792,none
WF-1381,1000,826,RING_DEFECT
WF-1382,1000,905,NONE
WF-1383,1000,886,ring_defect
WF-1384,1000,769,ring_defect
WF-1385,1000,933,EDGE_SCRATCH
WF-1386,1000,960,NONE
WF-1387,1000,989,NONE
WF-1388,1000,788,RING_DEFECT
WF-1389,1000,928,NONE
WF-1390,1000,761,RING_DEFECT
WF-1391,1000,956,NONE
WF-1392,1000,972,NONE
WF-1393,1000,932,ring_defect
WF-1394,1000,955, edge_scratch 
WF-1395,1000,760,none
WF-1396,1000,903,none
WF-1397,1000,791,NONE
WF-1398,1000,904,EDGE_SCRATCH
WF-1399,1000,760,NONE
WF-1400,1000,787,ring_defect
WF-1401,1000,847,RING_DEFECT
WF-1402,1000,920,NONE
WF-1403,1000,768,EDGE_SCRATCH
WF-1404,1000,941,none
WF-1405,1000,883,NONE
WF-1406,1000,923,ring_defect
WF-1407,1000,865,NONE
WF-1408,1000,979,NONE
WF-1409,1000,862,none
WF-1410,1000,919,none
WF-1411,1000,969,none
WF-1412,1000,814,EDGE_SCRATCH
WF-1413,1000,848, edge_scratch 
WF-1414,1000,981, edge_scratch 
WF-1415,1000,821,NONE
WF-1416,1000,936,NONE
WF-1417,1000,801,NONE
WF-1418,1000,867,NONE
WF-1419,1000,924,none
WF-1420,1000,869,NONE
WF-1421,1000,756,NONE
WF-1422,1000,760,NONE
WF-1423,1000,852,ring_defect
WF-1424,1000,810,ring_defect
WF-1425,1000,817, edge_scratch 
WF-1426,1000,902,ring_defect
WF-1427,1000,889,EDGE_SCRATCH
WF-1428,1000,903,none
WF-1429,1000,851,NONE
WF-1430,1000,859,EDGE_SCRATCH
WF-1431,1000,889,EDGE_SCRATCH
WF-1432,1000,920, edge_scratch 
WF-1433,1000,800,EDGE_SCRATCH
WF-1434,1000,866,none
WF-1435,1000,914,EDGE_SCRATCH
WF-1436,1000,795,ring_defect
WF-1437,1000,802,NONE
WF-1438,1000,837,EDGE_SCRATCH
WF-1439,1000,957,NONE
WF-1440,1000,870, edge_scratch 
WF-1441,1000,762,EDGE_SCRATCH
WF-1442,1000,838,NONE
WF-1443,1000,874, edge_scratch 
WF-1444,1000,867,NONE
WF-1445,1000,803, edge_scratch 
WF-1446,1000,934,NONE
WF-1447,1000,865,EDGE_SCRATCH
WF-1448,1000,867,NONE
WF-1449,1000,753, edge_scratch 
WF-1450,1000,824,NONE
WF-1451,1000,973,RING_DEFECT
WF-1452,1000,798,ring_defect
WF-1453,1000,756,ring_defect
WF-1454,1000,859,EDGE_SCRATCH
WF-1455,1000,871,EDGE_SCRATCH
WF-1456,1000,760,NONE
WF-1457,1000,841,NONE
WF-1458,1000,931,NONE
WF-1459,1000,982,EDGE_SCRATCH
WF-1460,1000,964,ring_defect
WF-1461,1000,922,NONE
WF-1462,1000,772,ring_defect
WF-1463,1000,991, edge_scratch 
WF-1464,1000,777, edge_scratch 
WF-1465,1000,984,NONE
WF-1466,1000,860,NONE
WF-1467,1000,806,none
WF-1468,1000,775, edge_scratch 
WF-1469,1000,902,NONE
WF-1470,1000,803,none
WF-1471,1000,778,RING_DEFECT
WF-1472,1000,960,RING_DEFECT
WF-1473,1000,846,ring_defect
WF-1474,1000,913,NONE
WF-1475,1000,763,NONE
WF-1476,1000,827,EDGE_SCRATCH
WF-1477,1000,784,NONE
WF-1478,1000,779,NONE
WF-1479,1000,841,NONE
WF-1480,1000,766,NONE
WF-1481,1000,944,NONE
WF-1482,1000,957,NONE
WF-1483,1000,987,NONE
WF-1484,1000,907,NONE
WF-1485,1000,993, edge_scratch 
WF-1486,1000,842,none
WF-1487,1000,922, edge_scratch 
WF-1488,1000,828,NONE
WF-1489,1000,859,NONE
WF-1490,1000,997, edge_scratch 
WF-1491,1000,966,none
WF-1492,1000,928,none
WF-1493,1000,851,NONE
WF-1494,1000,855,ring_defect
WF-1495,1000,796,NONE
WF-1496,1000,930,NONE
WF-1497,1000,813, edge_scratch 
WF-1498,1000,995,none
WF-1499,1000,993,NONE
WF-1500,1000,999,NONE
WF-1501,1000,915,EDGE_SCRATCH
WF-1502,1000,813,NONE
WF-1503,1000,836,NONE
WF-1504,1000,966,NONE
WF-1505,1000,983,RING_DEFECT
WF-1506,1000,756,NONE
WF-1507,1000,771,ring_defect
WF-1508,1000,830,none
WF-1509,1000,959,ring_defect
WF-1510,1000,990,ring_defect
WF-1511,1000,918,NONE
WF-1512,1000,823,NONE
WF-1513,1000,887,NONE
WF-1514,1000,934,NONE
WF-1515,1000,884,EDGE_SCRATCH
WF-1516,1000,989,NONE
WF-1517,1000,874,NONE
WF-1518,1000,799,NONE
WF-1519,1000,979,ring_defect
WF-1520,1000,968,NONE
WF-1521,1000,801,NONE
WF-1522,1000,910,NONE
WF-1523,1000,750,ring_defect
WF-1524,1000,985, edge_scratch 
WF-1525,1000,930,NONE
WF-1526,1000,937,NONE
WF-1527,1000,911,NONE
WF-1528,1000,753,NONE
WF-1529,1000,894,ring_defect
WF-1530,1000,881,EDGE_SCRATCH
WF-1531,1000,920,NONE
WF-1532,1000,995,RING_DEFECT
WF-1533,1000,967,NONE
WF-1534,1000,753,EDGE_SCRATCH
WF-1535,1000,750,RING_DEFECT
WF-1536,1000,820,NONE
WF-1537,1000,971,EDGE_SCRATCH
WF-1538,1000,927,NONE
WF-1539,1000,950,NONE
WF-1540,1000,938,NONE
WF-1541,1000,784,NONE
WF-1542,1000,757,EDGE_SCRATCH
WF-1543,1000,901,ring_defect
WF-1544,1000,960, edge_scratch 
WF-1545,1000,785,RING_DEFECT
WF-1546,1000,927,RING_DEFECT
WF-1547,1000,993,NONE
WF-1548,1000,872,NONE
WF-1549,1000,792,NONE
WF-1550,1000,776, edge_scratch 
WF-1551,1000,781,ring_defect
WF-1552,1000,827,NONE
WF-1553,1000,870,EDGE_SCRATCH
WF-1554,1000,895, edge_scratch 
WF-1555,1000,905,none
WF-1556,1000,906,NONE
WF-1557,1000,765,NONE
WF-1558,1000,848,NONE
WF-1559,1000,796,NONE
WF-1560,1000,936,NONE
WF-1561,1000,780,none
WF-1562,1000,753,NONE
WF-1563,1000,914,RING_DEFECT
WF-1564,1000,766,none
WF-1565,1000,788, edge_scratch 
WF-1566,1000,797,NONE
WF-1567,1000,923,none
WF-1568,1000,967,ring_defect
WF-1569,1000,925,NONE
WF-1570,1000,788,NONE
WF-1571,1000,982,EDGE_SCRATCH
WF-1572,1000,881,NONE
WF-1573,1000,779,NONE
WF-1574,1000,907,NONE
WF-1575,1000,771,NONE
WF-1576,1000,952,none
WF-1577,1000,815,NONE
WF-1578,1000,857,RING_DEFECT
WF-1579,1000,761,EDGE_SCRATCH
WF-1580,1000,971, edge_scratch 
WF-1581,1000,785, edge_scratch 
WF-1582,1000,767,RING_DEFECT
WF-1583,1000,839,NONE
WF-1584,1000,930,RING_DEFECT
WF-1585,1000,948,EDGE_SCRATCH
WF-1586,1000,750,EDGE_SCRATCH
WF-1587,1000,876,none
WF-1588,1000,935,NONE
WF-1589,1000,839,NONE
WF-1590,1000,836,EDGE_SCRATCH
WF-1591,1000,839,NONE
WF-1592,1000,986,EDGE_SCRATCH
WF-1593,1000,883,NONE
WF-1594,1000,819,NONE
WF-1595,1000,793,NONE
WF-1596,1000,949,NONE
WF-1597,1000,901,none
WF-1598,1000,835,NONE
WF-1599,1000,768,ring_defect
WF-1600,1000,850,none
WF-1601,1000,895,NONE
WF-1602,1000,844, edge_scratch 
WF-1603,1000,850,RING_DEFECT
WF-1604,1000,779,EDGE_SCRATCH
WF-1605,1000,998,NONE
WF-1606,1000,919,RING_DEFECT
WF-1607,1000,782,EDGE_SCRATCH
WF-1608,1000,951,NONE
WF-1609,1000,978,NONE
WF-1610,1000,761,none
WF-1611,1000,867,NONE
WF-1612,1000,843,RING_DEFECT
WF-1613,1000,904,NONE
WF-1614,1000,916,ring_defect
WF-1615,1000,886,none
WF-1616,1000,995,NONE
WF-1617,1000,898,NONE
WF-1618,1000,825,none
WF-1619,1000,996,EDGE_SCRATCH
WF-1620,1000,778,EDGE_SCRATCH
WF-1621,1000,910,NONE
WF-1622,1000,984,NONE
WF-1623,1000,939,NONE
WF-1624,1000,866, edge_scratch 
WF-1625,1000,764,NONE
WF-1626,1000,751,NONE
WF-1627,1000,929, edge_scratch 
WF-1628,1000,980,ring_defect
WF-1629,1000,866,NONE
WF-1630,1000,921,NONE
WF-1631,1000,931, edge_scratch 
WF-1632,1000,767, edge_scratch 
WF-1633,1000,752,NONE
WF-1634,1000,884,ring_defect
WF-1635,1000,920,RING_DEFECT
WF-1636,1000,959,NONE
WF-1637,1000,985,NONE
WF-1638,1000,915,none
WF-1639,1000,914,EDGE_SCRATCH
WF-1640,1000,935,NONE
WF-1641,1000,910, edge_scratch 
WF-1642,1000,857, edge_scratch 
WF-1643,1000,936,NONE
WF-1644,1000,844, edge_scratch 
WF-1645,1000,871,ring_defect
WF-1646,1000,760,NONE
WF-1647,1000,817,NONE
WF-1648,1000,872,NONE
WF-1649,1000,959,RING_DEFECT
WF-1650,1000,945,ring_defect
WF-1651,1000,862,NONE
WF-1652,1000,847,EDGE_SCRATCH
WF-1653,1000,842,none
WF-1654,1000,965,none
WF-1655,1000,771,NONE
WF-1656,1000,943,NONE
WF-1657,1000,921,NONE
WF-1658,1000,876,none
WF-1659,1000,883,NONE
WF-1660,1000,919,ring_defect
WF-1661,1000,774,NONE
WF-1662,1000,996,NONE
WF-1663,1000,934,none
WF-1664,1000,834,EDGE_SCRATCH
WF-1665,1000,804,NONE
WF-1666,1000,893,NONE
WF-1667,1000,844,ring_defect
WF-1668,1000,891,NONE
WF-1669,1000,916,NONE
WF-1670,1000,905,RING_DEFECT
WF-1671,1000,973,NONE
WF-1672,1000,969,NONE
WF-1673,1000,928,NONE
WF-1674,1000,868,NONE
WF-1675,1000,926,NONE
WF-1676,1000,758,NONE
WF-1677,1000,935,NONE
WF-1678,1000,922,NONE
WF-1679,1000,899,EDGE_SCRATCH
WF-1680,1000,909,NONE
WF-1681,1000,946,NONE
WF-1682,1000,964,RING_DEFECT
WF-1683,1000,946, edge_scratch 
WF-1684,1000,791,NONE
WF-1685,1000,802,ring_defect
WF-1686,1000,973,NONE
WF-1687,1000,936,NONE
WF-1688,1000,823,EDGE_SCRATCH
WF-1689,1000,788,none
WF-1690,1000,871,NONE
WF-1691,1000,764,NONE
WF-1692,1000,948,none
WF-1693,1000,906,NONE
WF-1694,1000,872,ring_defect
WF-1695,1000,860,NONE
WF-1696,1000,880,RING_DEFECT
WF-1697,1000,832,none
WF-1698,1000,759,RING_DEFECT
WF-1699,1000,841,EDGE_SCRATCH
WF-1700,1000,778, edge_scratch 
WF-1701,1000,956,NONE
WF-1702,1000,784,NONE
WF-1703,1000,755,NONE
WF-1704,1000,889,RING_DEFECT
WF-1705,1000,860,RING_DEFECT
WF-1706,1000,787,NONE
WF-1707,1000,826,NONE
WF-1708,1000,842,NONE
WF-1709,1000,896, edge_scratch 
WF-1710,1000,816,NONE
WF-1711,1000,885,EDGE_SCRATCH
WF-1712,1000,757,ring_defect
WF-1713,1000,996,NONE
WF-1714,1000,871,NONE
WF-1715,1000,833,NONE
WF-1716,1000,924,NONE
WF-1717,1000,881,NONE
WF-1718,1000,928,NONE
WF-1719,1000,834,RING_DEFECT
WF-1720,1000,944,NONE
WF-1721,1000,794,NONE
WF-1722,1000,885,ring_defect
WF-1723,1000,836,EDGE_SCRATCH
WF-1724,1000,765,NONE
WF-1725,1000,826,none
WF-1726,1000,944,NONE
WF-1727,1000,989,EDGE_SCRATCH
WF-1728,1000,758,EDGE_SCRATCH
WF-1729,1000,809, edge_scratch 
WF-1730,1000,827,NONE
WF-1731,1000,826,RING_DEFECT
WF-1732,1000,994,NONE
WF-1733,1000,998,NONE
WF-1734,1000,820,NONE
WF-1735,1000,764,NONE
WF-1736,1000,820,NONE
WF-1737,1000,851,RING_DEFECT
WF-1738,1000,975,ring_defect
WF-1739,1000,918,NONE
WF-1740,1000,771,NONE
WF-1741,1000,901,NONE
WF-1742,1000,862,NONE
WF-1743,1000,978,NONE
WF-1744,1000,921,ring_defect
WF-1745,1000,750,NONE
WF-1746,1000,759,NONE
WF-1747,1000,984,NONE
WF-1748,1000,957,RING_DEFECT
WF-1749,1000,859,EDGE_SCRATCH
WF-1750,1000,949,ring_defect
WF-1751,1000,933,EDGE_SCRATCH
WF-1752,1000,862,NONE
WF-1753,1000,966,NONE
WF-1754,1000,799, edge_scratch 
WF-1755,1000,761,NONE
WF-1756,1000,838,none
WF-1757,1000,958,NONE
WF-1758,1000,937,NONE
WF-1759,1000,903,none
WF-1760,1000,987,none
WF-1761,1000,861,EDGE_SCRATCH
WF-1762,1000,827,NONE
WF-1763,1000,918,none
WF-1764,1000,913,NONE
WF-1765,1000,870,NONE
WF-1766,1000,772,NONE
WF-1767,1000,920,NONE
WF-1768,1000,883,NONE
WF-1769,1000,988,NONE
WF-1770,1000,946,NONE
WF-1771,1000,920,NONE
WF-1772,1000,774,NONE
WF-1773,1000,767,NONE
WF-1774,1000,939,NONE
WF-1775,1000,890, edge_scratch 
WF-1776,1000,792,NONE
WF-1777,1000,827,NONE
WF-1778,1000,777,NONE
WF-1779,1000,895, edge_scratch 
WF-1780,1000,808,RING_DEFECT
WF-1781,1000,937,EDGE_SCRATCH
WF-1782,1000,812,EDGE_SCRATCH
WF-1783,1000,934,NONE
WF-1784,1000,841, edge_scratch 
WF-1785,1000,928,none
WF-1786,1000,805,NONE
WF-1787,1000,904,NONE
WF-1788,1000,909,NONE
WF-1789,1000,860,ring_defect
WF-1790,1000,886,none
WF-1791,1000,981,EDGE_SCRATCH
WF-1792,1000,973,NONE
WF-1793,1000,961,NONE
WF-1794,1000,969,NONE
WF-1795,1000,974,NONE
WF-1796,1000,817,RING_DEFECT
WF-1797,1000,795,none
WF-1798,1000,998,NONE
WF-1799,1000,975,RING_DEFECT
WF-1800,1000,989,NONE
