Wafer_ID,Lot_Code,Thickness_nm,Inspection_Date
WF-1103,l-a1,722.2917378031375,2026-08-25 
 WF-1104 ,l-a1,720.64370853841, 01/08/2026
WF-1105,l-a1,718.774479128835,2026/08/23
WF-1106,l-b2 ,,2026-08-26 
 WF-1107 ,L-B2,727.2902797972392, 07/08/2026
WF-1108,L-B2,724.8054536518134,2026/08/20
WF-1109,l-a1,725.9798901921193,2026-08-25 
 WF-1110 ,L-B2,, 12/08/2026
WF-1111,L-B2,733.5601319286588,2026/08/16
WF-1112,l-a1,725.4522741369133,2026-08-16 
 WF-1113 ,L-B2,725.3828817811171, 11/08/2026
WF-1114,L-C3,727.5401831836455,2026/08/21
WF-1115,L-A1 ,726.6835323110785,2026-08-04 
 WF-1116 ,L-A1 ,725.7835940849769, 13/08/2026
WF-1117,l-a1,722.2333394059414,2026/08/07
WF-1118,l-b2 ,726.650139249976,2026-08-04 
 WF-1119 ,l-a1,731.5870857376626, 15/08/2026
WF-1120,l-b2 ,729.7089701615424,2026/08/19
WF-1121,L-A1 ,730.5761531932379,2026-08-09 
 WF-1122 ,l-a1,723.2107451324908, 11/08/2026
WF-1123,L-C3 ,721.5363831290949,2026/08/08
WF-1124,L-C3,724.5597457796513,2026-08-01 
 WF-1125 ,L-B2,725.1950371930104, 23/08/2026
WF-1126,l-b2 ,728.8296703146483,2026/08/25
WF-1127,L-C3 ,719.0763737959982,2026-08-24 
 WF-1128 ,L-B2,730.3534261181121, 08/08/2026
WF-1129,L-B2,724.4469723549736,2026/08/13
WF-1130,l-a1,723.505916255184,2026-08-22 
 WF-1131 ,L-B2,721.4576346865894, 27/08/2026
WF-1132,L-C3,719.2080016484698,2026/08/04
WF-1133,L-C3 ,727.8810970438667,2026-08-08 
 WF-1134 ,L-B2,725.2566128851594, 03/08/2026
WF-1135,l-a1,720.4851368509063,2026/08/09
WF-1136,L-C3,720.4672242977773,2026-08-02 
 WF-1137 ,L-A1 ,723.8247535524846, 02/08/2026
WF-1138,L-C3 ,730.8415753385128,2026/08/28
WF-1139,L-B2,724.0914302702274,2026-08-13 
 WF-1140 ,l-a1,719.7389996640866, 15/08/2026
WF-1141,L-A1 ,724.1398992756992,2026/08/28
WF-1142,L-A1 ,724.0454675058832,2026-08-23 
 WF-1143 ,l-b2 ,715.5608967497045, 12/08/2026
WF-1144,L-C3,724.8099679671876,2026/08/26
WF-1145,L-B2,724.1917291442696,2026-08-04 
 WF-1146 ,l-a1,727.4367222768469, 26/08/2026
WF-1147,l-b2 ,731.4713463323087,2026/08/08
WF-1148,L-C3,728.9429776034171,2026-08-09 
 WF-1149 ,l-b2 ,724.0588895830581, 23/08/2026
WF-1150,L-C3 ,,2026/08/05
WF-1151,L-C3,734.0067593113745,2026-08-24 
 WF-1152 ,L-C3,725.2072645190507, 20/08/2026
WF-1153,L-B2,725.0487525216953,2026/08/18
WF-1154,L-C3,724.915562195115,2026-08-11 
 WF-1155 ,l-b2 ,725.6932966626875, 15/08/2026
WF-1156,L-C3,724.4947385582662,2026/08/28
WF-1157,L-B2,722.9921829759191,2026-08-22 
 WF-1158 ,L-B2,723.0859937056587, 09/08/2026
WF-1159,L-C3 ,724.885363554244,2026/08/17
WF-1160,l-b2 ,723.0980133010319,2026-08-27 
 WF-1161 ,L-A1 ,722.5050397606299, 26/08/2026
WF-1162,L-A1 ,725.3725057969216,2026/08/12
WF-1163,L-C3,724.107579739027,2026-08-07 
 WF-1164 ,L-C3 ,730.2639754600394, 10/08/2026
WF-1165,l-a1,715.7216056706245,2026/08/25
WF-1166,L-C3,728.8202739817286,2026-08-26 
 WF-1167 ,L-C3 ,729.3612981737417, 25/08/2026
WF-1168,l-b2 ,717.7431341865715,2026/08/10
WF-1169,l-b2 ,723.8005934207188,2026-08-27 
 WF-1170 ,l-b2 ,723.6999569690147, 13/08/2026
WF-1171,l-b2 ,720.0737090684876,2026/08/19
WF-1172,l-b2 ,722.2776415934319,2026-08-11 
 WF-1173 ,L-C3 ,721.1129845408695, 13/08/2026
WF-1174,L-C3 ,731.1329465519826,2026/08/21
WF-1175,L-B2,728.2748743760161,2026-08-08 
 WF-1176 ,L-A1 ,729.4504428324796, 08/08/2026
WF-1177,l-b2 ,727.5258522241513,2026/08/04
WF-1178,l-a1,721.0483188007397,2026-08-15 
 WF-1179 ,L-C3 ,723.1641790680208, 28/08/2026
WF-1180,l-a1,,2026/08/11
WF-1181,l-a1,720.7225526688782,2026-08-11 
 WF-1182 ,l-a1,727.4954945056033, 01/08/2026
WF-1183,L-B2,724.1588611064466,2026/08/17
WF-1184,L-C3 ,723.6881271735764,2026-08-15 
 WF-1185 ,l-a1,727.4883598887122, 20/08/2026
WF-1186,l-b2 ,726.5549215902012,2026/08/06
WF-1187,L-C3,723.7366184196333,2026-08-24 
 WF-1188 ,l-a1,729.0576543117749, 22/08/2026
WF-1189,L-B2,721.2162783534004,2026/08/28
WF-1190,L-C3 ,727.155774624305,2026-08-25 
 WF-1191 ,L-B2,727.0758544028894, 15/08/2026
WF-1192,l-a1,723.916587462401,2026/08/09
WF-1193,L-C3 ,726.1414655778474,2026-08-14 
 WF-1194 ,L-C3,720.6211024826514, 18/08/2026
WF-1195,l-a1,728.2340945672241,2026/08/26
WF-1196,L-B2,724.3528425224496,2026-08-17 
 WF-1197 ,L-A1 ,723.1704694281833, 18/08/2026
WF-1198,l-b2 ,728.6715322904291,2026/08/05
WF-1199,L-B2,722.5347970831003,2026-08-20 
 WF-1200 ,L-C3 ,720.0703854627276, 20/08/2026
WF-1201,l-a1,719.5517978926663,2026/08/09
WF-1202,l-b2 ,727.1210348297097,2026-08-11 
 WF-1203 ,l-a1,720.518497266263, 24/08/2026
WF-1204,L-C3 ,731.1417796369453,2026/08/22
WF-1205,l-a1,717.713247072407,2026-08-01 
 WF-1206 ,L-A1 ,730.9375972890151, 18/08/2026
WF-1207,l-b2 ,725.7385611352091,2026/08/06
WF-1208,l-b2 ,724.6615041084536,2026-08-27 
 WF-1209 ,L-C3 ,723.0927831961686, 02/08/2026
WF-1210,L-A1 ,726.3969764002322,2026/08/15
WF-1211,L-B2,724.8682785415131,2026-08-26 
 WF-1212 ,l-a1,728.8615565870579, 21/08/2026
WF-1213,L-C3,725.3997967703172,2026/08/14
WF-1214,l-a1,725.5260561651165,2026-08-05 
 WF-1215 ,l-a1,723.7273572572515, 06/08/2026
WF-1216,L-B2,724.8006903169762,2026/08/06
WF-1217,l-a1,726.0773061911223,2026-08-22 
 WF-1218 ,L-A1 ,719.0144106257018, 18/08/2026
WF-1219,L-A1 ,720.28135102263,2026/08/14
WF-1220,l-b2 ,727.6014243290795,2026-08-10 
 WF-1221 ,L-C3 ,, 14/08/2026
WF-1222,L-C3,724.3560583227656,2026/08/13
WF-1223,l-a1,725.0645187657288,2026-08-03 
 WF-1224 ,l-a1,726.2165359687658, 06/08/2026
WF-1225,L-B2,723.1108411189173,2026/08/08
WF-1226,L-C3 ,722.2759334610919,2026-08-12 
 WF-1227 ,L-A1 ,725.6854583928418, 13/08/2026
WF-1228,L-C3,721.5756952783474,2026/08/11
WF-1229,l-b2 ,,2026-08-12 
 WF-1230 ,L-A1 ,719.0409573851675, 01/08/2026
WF-1231,L-C3 ,,2026/08/17
WF-1232,l-b2 ,726.6540911884457,2026-08-16 
 WF-1233 ,L-B2,725.8961040700985, 11/08/2026
WF-1234,L-B2,728.4394184438092,2026/08/13
WF-1235,l-a1,730.8291605556191,2026-08-18 
 WF-1236 ,L-C3 ,728.5502952275634, 11/08/2026
WF-1237,L-C3,718.5569401903392,2026/08/28
WF-1238,l-b2 ,720.521480616425,2026-08-12 
 WF-1239 ,L-A1 ,722.8131349780651, 06/08/2026
WF-1240,L-C3 ,725.091318675738,2026/08/09
WF-1241,L-C3 ,726.8118065716419,2026-08-16 
 WF-1242 ,L-B2,722.4598966539629, 04/08/2026
WF-1243,l-a1,725.6536836756698,2026/08/03
WF-1244,l-a1,722.3561597367634,2026-08-28 
 WF-1245 ,l-b2 ,722.8596876895282, 16/08/2026
WF-1246,L-B2,720.0766861610313,2026/08/24
WF-1247,L-C3 ,721.7686836386118,2026-08-27 
 WF-1248 ,L-C3,720.2691038803429, 26/08/2026
WF-1249,L-B2,721.5844436145793,2026/08/25
WF-1250,l-b2 ,728.6877462881274,2026-08-12 
 WF-1251 ,l-b2 ,721.6771038890882, 11/08/2026
WF-1252,L-B2,734.2133372269309,2026/08/05
WF-1253,l-b2 ,726.7266126530831,2026-08-25 
 WF-1254 ,L-B2,725.6469264329321, 18/08/2026
WF-1255,L-A1 ,721.9957477693657,2026/08/19
WF-1256,L-B2,727.4510845779315,2026-08-23 
 WF-1257 ,L-B2,, 23/08/2026
WF-1258,l-b2 ,725.4270343512587,2026/08/06
WF-1259,l-b2 ,733.9602958839408,2026-08-22 
 WF-1260 ,l-a1,724.6637903509637, 18/08/2026
WF-1261,l-a1,729.0224566419998,2026/08/26
WF-1262,L-A1 ,722.5388825120594,2026-08-06 
 WF-1263 ,l-a1,724.8775402832606, 04/08/2026
WF-1264,L-B2,731.1978022247242,2026/08/12
WF-1265,l-b2 ,722.8056152977429,2026-08-19 
 WF-1266 ,l-a1,731.3435699529892, 27/08/2026
WF-1267,l-a1,727.4771317740941,2026/08/02
WF-1268,L-A1 ,723.03136628437,2026-08-17 
 WF-1269 ,L-C3 ,727.2134270866943, 11/08/2026
WF-1270,L-A1 ,728.4039405736936,2026/08/11
WF-1271,L-B2,,2026-08-21 
 WF-1272 ,l-b2 ,719.5042134803834, 16/08/2026
WF-1273,L-A1 ,722.455019884613,2026/08/02
WF-1274,l-a1,724.1336847755697,2026-08-02 
 WF-1275 ,l-b2 ,724.7394829981498, 23/08/2026
WF-1276,l-b2 ,727.1723523414274,2026/08/08
WF-1277,l-a1,725.6219535032664,2026-08-13 
 WF-1278 ,L-A1 ,720.3262947445146, 10/08/2026
WF-1279,l-a1,726.3306924785209,2026/08/08
WF-1280,L-C3 ,727.1370501084933,2026-08-04 
 WF-1281 ,l-b2 ,726.9592665677586, 15/08/2026
WF-1282,L-C3,,2026/08/01
WF-1283,L-C3,727.9187275409212,2026-08-11 
 WF-1284 ,L-B2,726.6071302772996, 07/08/2026
WF-1285,l-a1,724.7544200098947,2026/08/17
WF-1286,l-a1,719.1866367326941,2026-08-27 
 WF-1287 ,L-B2,, 20/08/2026
WF-1288,L-B2,725.7269069050709,2026/08/24
WF-1289,L-B2,725.9505259301839,2026-08-18 
 WF-1290 ,l-b2 ,720.5313799846289, 22/08/2026
WF-1291,L-C3 ,721.2163021085711,2026/08/22
WF-1292,l-a1,728.6860349866652,2026-08-12 
 WF-1293 ,l-b2 ,724.8615569615017, 09/08/2026
WF-1294,L-B2,727.3852524408042,2026/08/05
WF-1295,l-a1,725.0991143164566,2026-08-10 
 WF-1296 ,l-b2 ,725.1041464882351, 04/08/2026
WF-1297,L-C3 ,728.283993320916,2026/08/05
WF-1298,l-b2 ,723.1938434512392,2026-08-28 
 WF-1299 ,L-C3 ,725.3364227192934, 28/08/2026
WF-1300,L-B2,723.3820364895323,2026/08/10
WF-1301,L-C3 ,723.4792632039869,2026-08-11 
 WF-1302 ,l-a1,723.9178975678598, 21/08/2026
WF-1303,L-B2,725.777468200718,2026/08/24
WF-1304,l-a1,723.3243798241779,2026-08-10 
 WF-1305 ,L-C3,729.3951464395074, 28/08/2026
WF-1306,L-A1 ,721.8688744422317,2026/08/08
WF-1307,L-C3 ,724.3459492454352,2026-08-02 
 WF-1308 ,L-A1 ,723.4609412960403, 23/08/2026
WF-1309,L-A1 ,730.064422595238,2026/08/08
WF-1310,L-C3 ,725.6879417177905,2026-08-16 
 WF-1311 ,L-B2,728.6114558881402, 27/08/2026
WF-1312,L-C3,719.8005386943706,2026/08/22
WF-1313,l-a1,725.9346759305424,2026-08-05 
 WF-1314 ,l-b2 ,728.113707784682, 27/08/2026
WF-1315,l-a1,725.2879939624639,2026/08/25
WF-1316,l-b2 ,728.7291813127288,2026-08-03 
 WF-1317 ,l-a1,723.1894904246487, 12/08/2026
WF-1318,L-C3 ,729.9327160406496,2026/08/13
WF-1319,L-C3,733.0461434326673,2026-08-13 
 WF-1320 ,l-b2 ,723.7300650384612, 10/08/2026
WF-1321,L-B2,723.4407411750973,2026/08/04
WF-1322,l-a1,,2026-08-09 
 WF-1323 ,l-a1,730.5285025100575, 22/08/2026
WF-1324,l-b2 ,723.1699899049636,2026/08/24
WF-1325,L-B2,723.5293461401645,2026-08-23 
 WF-1326 ,L-B2,724.0137538689883, 27/08/2026
WF-1327,L-C3 ,720.29442321138,2026/08/02
WF-1328,L-C3 ,721.7847181873053,2026-08-19 
 WF-1329 ,L-C3 ,721.4855073163677, 01/08/2026
WF-1330,L-C3 ,722.3127085221355,2026/08/25
WF-1331,L-C3 ,724.8786028941463,2026-08-07 
 WF-1332 ,L-C3 ,725.8197515638778, 17/08/2026
WF-1333,L-C3,730.4267517248493,2026/08/03
WF-1334,L-B2,721.5057608574142,2026-08-20 
 WF-1335 ,L-C3 ,728.445128394668, 20/08/2026
WF-1336,L-B2,,2026/08/21
WF-1337,L-B2,724.8268770162165,2026-08-03 
 WF-1338 ,L-A1 ,727.3618682225831, 03/08/2026
WF-1339,L-C3,721.0704729245319,2026/08/17
WF-1340,L-C3 ,726.3384341116442,2026-08-07 
 WF-1341 ,l-a1,725.5825827287457, 27/08/2026
WF-1342,l-b2 ,726.7235794240286,2026/08/26
WF-1343,l-a1,726.0120902536773,2026-08-14 
 WF-1344 ,L-C3,733.5935504896881, 17/08/2026
WF-1345,l-b2 ,722.7679100551204,2026/08/18
WF-1346,L-C3,723.1415106574937,2026-08-13 
 WF-1347 ,L-B2,722.8190081575133, 20/08/2026
WF-1348,l-b2 ,723.0558300829391,2026/08/20
WF-1349,L-B2,722.7691450544272,2026-08-21 
 WF-1350 ,l-a1,729.1615578588764, 27/08/2026
WF-1351,l-a1,729.9717648679645,2026/08/18
WF-1352,l-b2 ,723.0023879718768,2026-08-04 
 WF-1353 ,l-b2 ,722.0867554941352, 01/08/2026
WF-1354,L-C3 ,726.6499544473525,2026/08/18
WF-1355,L-C3,723.0672193450166,2026-08-01 
 WF-1356 ,L-C3 ,727.2152613621442, 26/08/2026
WF-1357,L-C3,725.7102305729795,2026/08/26
WF-1358,L-C3 ,719.6948955975097,2026-08-13 
 WF-1359 ,L-B2,730.4162682046552, 20/08/2026
WF-1360,l-b2 ,731.2855718558343,2026/08/20
WF-1361,l-a1,722.8552395833046,2026-08-23 
 WF-1362 ,L-C3,723.6430445402241, 10/08/2026
WF-1363,L-C3,726.0005288675371,2026/08/27
WF-1364,l-a1,726.1705987649545,2026-08-11 
 WF-1365 ,L-C3 ,, 09/08/2026
WF-1366,L-C3,732.0357158856822,2026/08/09
WF-1367,L-B2,,2026-08-05 
 WF-1368 ,l-b2 ,722.2059596441154, 26/08/2026
WF-1369,l-a1,,2026/08/01
WF-1370,l-b2 ,722.4417448602032,2026-08-17 
 WF-1371 ,L-C3,724.8840555949417, 22/08/2026
WF-1372,L-C3,731.2809525223123,2026/08/02
WF-1373,l-a1,723.1883604533734,2026-08-24 
 WF-1374 ,L-B2,725.7832578307361, 13/08/2026
WF-1375,L-A1 ,724.9425198637454,2026/08/09
WF-1376,l-a1,729.1593764570683,2026-08-04 
 WF-1377 ,L-A1 ,733.8442634905576, 05/08/2026
WF-1378,L-C3 ,723.1419592947789,2026/08/11
WF-1379,L-A1 ,723.2869619511862,2026-08-24 
 WF-1380 ,L-B2,728.6545630697417, 19/08/2026
WF-1381,L-C3 ,727.3866202136921,2026/08/21
WF-1382,L-A1 ,731.4634756400761,2026-08-03 
 WF-1383 ,L-C3 ,727.0437486486409, 12/08/2026
WF-1384,L-A1 ,723.7424776822453,2026/08/26
WF-1385,L-B2,727.067291907423,2026-08-19 
 WF-1386 ,L-A1 ,728.8804625320402, 19/08/2026
WF-1387,L-A1 ,727.8716876341907,2026/08/13
WF-1388,L-A1 ,726.7754591088756,2026-08-28 
 WF-1389 ,l-a1,728.7333614135621, 07/08/2026
WF-1390,l-a1,729.0925345665598,2026/08/15
WF-1391,l-a1,729.8375564686313,2026-08-23 
 WF-1392 ,L-B2,727.2704846065637, 07/08/2026
WF-1393,L-C3 ,724.415086718891,2026/08/26
WF-1394,L-C3,725.5134979025166,2026-08-08 
 WF-1395 ,L-A1 ,729.2227813827792, 05/08/2026
WF-1396,L-A1 ,722.1407251515446,2026/08/21
WF-1397,L-B2,726.2903565810551,2026-08-14 
 WF-1398 ,L-A1 ,723.6233141568542, 04/08/2026
WF-1399,l-a1,725.1006068802718,2026/08/23
WF-1400,L-C3,729.4745815191255,2026-08-10 
 WF-1401 ,l-b2 ,725.6688467380696, 20/08/2026
WF-1402,L-A1 ,725.1625279185465,2026/08/15
WF-1403,l-a1,720.2405035065702,2026-08-18 
 WF-1404 ,l-b2 ,727.6118874810953, 20/08/2026
WF-1405,L-C3,727.2591946339937,2026/08/13
WF-1406,l-b2 ,732.5713915315691,2026-08-08 
 WF-1407 ,l-a1,723.9227761776644, 09/08/2026
WF-1408,L-C3 ,725.7670261468238,2026/08/16
WF-1409,L-C3 ,725.8728428929876,2026-08-19 
 WF-1410 ,l-b2 ,730.5210864791721, 16/08/2026
WF-1411,L-B2,724.6664656366456,2026/08/07
WF-1412,l-b2 ,725.9765753401962,2026-08-14 
 WF-1413 ,L-A1 ,727.1276377840079, 28/08/2026
WF-1414,L-A1 ,725.6531319310473,2026/08/14
WF-1415,L-C3 ,,2026-08-25 
 WF-1416 ,L-B2,725.679314975144, 27/08/2026
WF-1417,l-a1,728.7577111245092,2026/08/04
WF-1418,L-A1 ,721.4071964520613,2026-08-26 
 WF-1419 ,L-C3 ,, 15/08/2026
WF-1420,L-C3,722.5495771477129,2026/08/03
WF-1421,L-C3 ,,2026-08-05 
 WF-1422 ,L-A1 ,719.6688458332568, 01/08/2026
WF-1423,L-A1 ,723.0437735345495,2026/08/03
WF-1424,L-C3 ,726.3202415627259,2026-08-15 
 WF-1425 ,l-a1,730.4793341023202, 24/08/2026
WF-1426,l-b2 ,724.7698740862445,2026/08/27
WF-1427,L-A1 ,723.0568016565738,2026-08-08 
 WF-1428 ,L-C3 ,731.5840497430421, 04/08/2026
WF-1429,L-C3 ,719.9319513485432,2026/08/02
WF-1430,L-B2,717.3041791518297,2026-08-24 
 WF-1431 ,l-b2 ,726.5400505751867, 24/08/2026
WF-1432,L-C3,723.2428102147659,2026/08/10
WF-1433,l-a1,,2026-08-04 
 WF-1434 ,L-C3,727.4792475655478, 03/08/2026
WF-1435,l-b2 ,725.8533024981992,2026/08/02
WF-1436,l-b2 ,723.0257247924214,2026-08-25 
 WF-1437 ,l-b2 ,720.5189346046519, 17/08/2026
WF-1438,L-C3,728.0536006489805,2026/08/23
WF-1439,l-b2 ,727.2757041228554,2026-08-21 
 WF-1440 ,L-C3 ,724.6528844767722, 24/08/2026
WF-1441,L-C3,731.4632294861668,2026/08/20
WF-1442,l-b2 ,721.2547033178585,2026-08-23 
 WF-1443 ,L-C3 ,719.6606619017634, 13/08/2026
WF-1444,L-B2,722.5783217554157,2026/08/05
WF-1445,l-b2 ,724.8404489427558,2026-08-21 
 WF-1446 ,L-C3,, 09/08/2026
WF-1447,L-A1 ,724.1556737975028,2026/08/25
WF-1448,l-b2 ,726.2321938878,2026-08-25 
 WF-1449 ,L-A1 ,720.6196120153335, 28/08/2026
WF-1450,L-C3 ,730.0531761142564,2026/08/22
WF-1451,L-B2,724.712470875626,2026-08-06 
 WF-1452 ,l-a1,, 05/08/2026
WF-1453,L-B2,726.199538712322,2026/08/25
WF-1454,l-b2 ,726.5986362670383,2026-08-10 
 WF-1455 ,L-A1 ,726.9941854808127, 08/08/2026
WF-1456,L-A1 ,726.5669799600606,2026/08/07
WF-1457,L-C3,727.2495296595364,2026-08-07 
 WF-1458 ,L-A1 ,729.6520338554635, 06/08/2026
WF-1459,L-C3,725.6878240939551,2026/08/21
WF-1460,L-C3 ,727.4815131515597,2026-08-20 
 WF-1461 ,l-a1,724.6859250699947, 03/08/2026
WF-1462,l-b2 ,730.0404102540732,2026/08/19
WF-1463,L-C3,722.6326269427925,2026-08-22 
 WF-1464 ,l-a1,731.3032915151879, 15/08/2026
WF-1465,L-A1 ,724.8594471727448,2026/08/04
WF-1466,L-A1 ,719.9922871425869,2026-08-28 
 WF-1467 ,l-a1,725.4483654521878, 12/08/2026
WF-1468,L-A1 ,722.6163191988379,2026/08/06
WF-1469,L-C3 ,727.9422524214606,2026-08-19 
 WF-1470 ,L-C3 ,722.7158160724416, 04/08/2026
WF-1471,l-a1,,2026/08/15
WF-1472,L-C3,718.3866074416907,2026-08-09 
 WF-1473 ,L-C3,723.4169278826282, 05/08/2026
WF-1474,l-a1,716.5164223567987,2026/08/13
WF-1475,L-C3,,2026-08-23 
 WF-1476 ,L-C3,727.661451296505, 26/08/2026
WF-1477,L-C3 ,727.7503005552779,2026/08/18
WF-1478,L-C3,726.4891014662473,2026-08-05 
 WF-1479 ,L-B2,721.6155834990477, 25/08/2026
WF-1480,l-b2 ,724.8330102535031,2026/08/16
WF-1481,L-A1 ,724.987391113183,2026-08-27 
 WF-1482 ,L-B2,720.9457235878261, 19/08/2026
WF-1483,L-C3,730.261894056185,2026/08/14
WF-1484,L-C3 ,728.0707680170149,2026-08-25 
 WF-1485 ,l-a1,724.2266253915961, 16/08/2026
WF-1486,L-C3,725.0941004364809,2026/08/27
WF-1487,L-C3 ,725.7293398278165,2026-08-15 
 WF-1488 ,l-b2 ,717.853927960515, 22/08/2026
WF-1489,L-C3,,2026/08/04
WF-1490,l-a1,722.6130551320077,2026-08-07 
 WF-1491 ,L-C3 ,721.4943299653678, 16/08/2026
WF-1492,L-C3 ,724.0161489748991,2026/08/24
WF-1493,L-C3 ,731.2919028439733,2026-08-22 
 WF-1494 ,l-b2 ,727.2429500144345, 21/08/2026
